Category,News,Cluster
business,"#EndSARS Protests May Trigger Inflation, Policy Analyst Warns. It's been almost two weeks of several demonstrations by Nigerian youths to end police brutality. Experts and analysts are calling",
health,"1,081,548 Nigerians Receive Astrazeneca Vaccine Jabs. As the vaccination of Nigerians against Covid-19 enters its sixth week, the federal government says 1,081,548 people have received their",
business,"14 Nigerian Governors in Dubai for Investment Drive. Fourteen Nigerian governors have arrived Dubai, United Arab Emirate (UAE) for an Annual Investment Meeting, starting Tuesday, March 29. The",
business,"15 West African Countries To Start Cross-Border Debt Market in 2023. As a way of achieving a robust integration for West African economies and finances, 15 Countries are ready to link",
health,"19% Eligible Nigerians Vaccinated Against Covid, Says FG. Nigeria's federal government on Monday said the country has been able to fully vaccinate 21,236,404 of its eligible population with",
health,"200,000 Undetected Tuberculosis Infections Occur Annually in Nigeria, Says FG. Nigeria's federal government on Thursday said despite significant progress made in the fight against tuberculosis (TB) epidemic in the country,",
health,"A Beginner's Guide to Intermittent Fasting. Intermittent fasting is not a diet, it is a meal timing plan. What you're doing is focusing on a specific",
health,"A Third of Covid Survivors Suffer Neurological or Mental Disorders, Study Suggests. One in three COVID-19 survivors in a study of more than 230,000 mostly American patients were diagnosed with a brain",
health,"Already in Circulation': Nigeria Raises the Alarm as Africa-bound Fake Covid Vaccines Intercepted. Nigeria's federal government has raised the alarm over a case of 3,000 doses of fake Covid-19 vaccines to be exported",
business,"Black Market' Can't Determine Value of Naira, Central Bank Governor Emefiele Insists. Central Bank of Nigeria Governor Godwin Emefiele on Tuesday said the parallel market - otherwise known as the black market",
business,"Game Changer': AfCFTA Will Be Largest Free Trade Area in the World, Nigeria's Foreign Minister Onyeama Says. Nigeria's Minister of Foreign Affairs, Geoffrey Onyeama has said that the African Continental Free Trade Area (AfCFTA) would be ia",
sports,Sports news: Humanity at Its Worst': Man United Star Rashford Racially Abused. Manchester United forward Marcus Rashford says the racial abuse he received online after the 0-0 draw at Arsenal was â€œhumanity,
health,"Not If But When': Merkel, Macron, Johnson, Others Call for International Treaty Ahead of Next Pandemic. More than 20 world leaders have called for a new global treaty to help the world prepare for future pandemics.",
health,"This Is Life from Now On': Israel's Coronavirus Czar Warns People to Prepare for Fourth  Covid Jab. With over 2.5 million Israelis already inoculated with three Covid-19 vaccine doses, the national coronavirus czar, Salman Zarka, has said",
health,"We Shouldn't Allow Another Lockdown': Nigeria Asks Citizens to Be Responsible as Covid Cases Rise. With the economy now back in recession, Nigeria is definitely not contemplating a second lockdown even though Covid-19 cases are",
sports,Sports news: Abdullahi Gets Nigeria Call to Replace Injured Onyeka Ahead of Sierra Leone Games. Nigeria coach Gernot Rohr has invited Shehu Abdullahi to replace injured Midtjylland midfielder Frank Onyeka for their 2022 Africa Cup,
health,About 40 UK Universities Report Coronavirus Cases. About 40 universities around the UK have had reports of coronavirus cases and thousands of students are self-isolating as the,
sports,Sports news: Abramovich 'Will Receive Bids for Chelsea This Week' after Facing Pressure to Step Aside for Being 'Putin Ally'. Chelsea ownerÂ Roman AbramovichÂ 'will receive bids for the club this week' amid mounting pressure for the billionaire to step aside after,
sports,"Sports news: AC Milan Win Italian League for the First Time in 11 Years as City Rivals Inter Finish Second. AC Milan have won the 2021-22 Serie A title, with arch-rivals Inter finishing second after a dramatic final day. Milan",
business,"Access Bank to Support Education with $1.7m Raised at UK Polo Tournament. The money, the bank explained, would be directed towards building and equipping of over 100 classroom blocks in the less",
sports,"AFCON: Algeria's 35-Match Undefeated Run Ends after Equatorial Guinea Loss. Equatorial Guinea have caused the greatest upset so far at this year's Africa Cup of Nations (AFCON), defeating continental champions",
sports,AFCON: Eguavoen Puts Egypt Win Behind  as Super Eagles Set Sights on Sudan. Following the memorable defeat of the Pharaohs of Egypt in the opening match of Group D at the 33rd Africa,
sports,AFCON: Iheanacho Stunner Lifts Super Eagles Over Egypt's Pharaohs. The biggest match of theÂ Africa Cup of NationsÂ so far saw Nigeria emerge victorious over Egypt in Group D. The second,
sports,AFCON: Nigeria's Super Eagles to Play Tunisia's Carthage Eagles in 2nd Round. Nigeria's Super Eagles will face 2004 African champions Tunisia in the round of 16 of the ongoing 2021 Africa Cup,
